catalog,roughness
2378,4.1422674822702445
3202s,15.848589045554473
5522w,17.28423369090704
310,5.238738789416929
2084b,16.682089928845183
5472c,7.391738962024865
296h,10.497487817430512
5129,4.164475681016834
2074k,15.704134359178225
5500n,23.53369616041928
2379,3.9994990381832887
2074t,32.582172041024066
37,11.252058044057982
311,5.660302756147571
2084c,6.506791246992792
5522v,10.710096956702758
4139,4.628603983662565
3212,5.563519998034943
5500o,16.916089806347546
2074j,21.130575613469595
2372h,2.943724059176425
5169v,24.921710423232284
4202,20.062097160227403
5513i,23.34345167545264
304j,8.943405058242321
2329,8.745189963956555
2766,25.2450127326888
5534c,7.6417900647081725
2493,4.943806539599798
2538,5.725539232118243
2141w,13.72512038154005
5527x,9.125246122846107
2643x,18.824900855538623
870k,17.571837302007605
202,5.308641014336561
298i,25.26206369428537
2054,5.834036406429577
903a,2.7244964829037843
3189j,19.369177087442687
5465e,10.44021826852265
4790q,10.09111423130279
2492,5.249928931925544
4885a,5.2717052449694535
5513h,22.07542615607645
5304a,10.505823945878454
5194,1.7331217162429349
2055,4.5484770622920525
901ii,2.831530585859
2643y,22.256113034590168
4912z,6.504204015077124
2563c,5.126006138506148
5527y,4.952408768126114
2141v,11.127577235422825
5535k,17.259750161158593
4782i,14.309015731455688
1531,5.21313907006224
5519a,14.813495542330042
2968xx,15.263602918668758
1023e,14.062090958652028
5523i,30.71548369773491
2008,13.812019071785636
1997,4.63384123024934
5521s,5.114415484474509
2559,8.674118071227728
126,4.005858283980263
5527bb,7.5522953803737725
5464cc,7.524281793299397
2097,7.403011963888241
2009,12.440464909390164
4782h,15.789738962745114
1023d,14.025966729140071
1946,4.36225727187193
1006a,2.5611244104007924
1535,4.684373184008893
2178,6.203760261453505
2075a,5.325720609825579
2498,14.62189457735833
2645,6.586079644936759
5522ss,3.128023093843115
5501ll,9.884464424272958
2085a,4.591107392141027
1838,14.092257173882489
1007t,9.457326617607825
4781p,14.32731401890188
5464g,6.076854723358098
3199dd,8.08195056476749
4153,11.454624043220008
1411,7.471239556177939
3139,7.890504764109098
130,5.171553261697345
1672,5.746997369591912
5431b,3.027022467806069
1785,3.5611681210857307
5501p,5.171669823383524
3138,7.570158196566623
4787w,13.8899816818136
4792c,11.040792245031628
2229,4.9582249971498165
1007u,2.8178420362852994
5541h,7.924640632242647
5464f,8.243605762010246
3198ll,3.091827237447831
5517d,7.662415814543964
5431c,2.932280811755634
5501q,7.89984756601442
2196,5.221732938384875
1855,7.104667273782291
143,4.844803676571971
1673,5.787382475569828
325,5.807082192672016
1521,9.92701329383942
2086d,18.892932109351356
134,4.103768429344893
2299,8.066303532269101
5499j,7.918362715894195
5522i,7.313718210915952
3198kk,7.525908104312747
5515a,2.949542188177598
4843,5.90999621047562
5205g,2.5643468905984266
4882r,9.742213256545885
2948,10.244891124753472
1879q,24.99970706747974
2084r,21.36070065966189
4158,5.650894436923607
2907,1.894118531189652
2060,7.255181686041815
1008k,24.407591961917063
5205f,18.88712720247664
4842,5.5158762613454
4882s,17.245096583426044
2949,5.449021312629185
